Job_offer,Label,Traslation,token
"Siamo alla ricerca di un PHP Developer, con differenti seniority, da inserire nell'area digital di un progetto molto ambizioso in ambito energetico., Ambiente giovane e dinamico Lavorerai con persone in gamba dalle quali imparerai molto, ma alle quali potrai anche insegnare molto! I progetti sono sempre delle sfide e si basano sui più avanzati stack tecnologici.
   Cosa non deve mancare.
   Passione.
   ami scrivere software e lo fai sapendo che il prodotto che stai realizzando deve essere funzionale perché verrà utilizzato da altre persone.",Web Developer,"We are looking for a Php Developer, with different seniorities, to be included in the digital area of a very ambitious project in the energy field., Young and dynamic environment you will work with smart people from whom you will learn a lot, but to which you can also teach a lot!The projects are always challenges and are based on the most advanced technological stacks.
   What must not be missing.
   Passion.
   You love to write software and you do it knowing that the product you are making must be functional because it will be used by other people.",look php developer different seniority include digital area ambitious project energy field young dynamic environment work smart people learn lot also teach lotthe project always challenge base advanced technological stack must miss passion love write software know product make must functional use people
"FILIALE : REGGIO CALABRIA SPECIALIZZAZIONE : Qibit - Expert QiBit, la divisione specializzata ICT di Gi Group che si occupa di R&S di profili IT Expert per il mercato italiano, ricerca, per importante gruppo aziendale che si occupa fornire servizi e soluzioni di Information Technology per il mondo bancario, Pubblica Amministrazione e imprese, ricerchiamo un Sistemista Junior Il candidato verrà inserito per presidio SALA SERVER in ambito Pubblica Amministrazione, pertanto farà parte di un team di presidio sistemistico in ambito PA e si occuperà di attività di installazione manutenzione e gestione server. Focus tecnologico quindi sui server (windows e/o Linux) - non si tratta di posizioni per assistenza lato client o uffici/PDL. Requisiti richiesti: Il candidato deve possedere: *almeno 2 anni di comprovata esperienza nel ruolo di sistemista lato server (linux e/o windows), *conoscenza di ambiente di virtualizzazione VMware *Conoscenza di Sistemi Operativi Server Microsoft (Windows
   Server 2016/2019) *Conoscenza di Server Posta Microsoft Exchange (Office 365) *Conoscenza di Microsoft Active Directory (Group Policy) *Conoscenza di Sistemi Operativi Client Microsoft (Windows 7,8.1,10) SI OFFRE: * Contratto diretto con l'azienda a Tempo Indeterminato * Inquadramento equiparato all'esperienza * Possibilità di alternanza tra lavoro in presenza e in smart working Sede di lavoro: Reggio Calabria Gi Group è la prima multinazionale italiana del lavoro, nonché una delle principali realtà, a livello mondiale, nei servizi dedicati allo sviluppo del mercato del lavoro. Il Gruppo è attivo nei seguenti campi: lavoro temporaneo, permanent e professional staffing, ricerca e selezione, consulenza HR e formazione, outsourcing, supporto alla ricollocazione e attività complementari. Grazie al percorso di internazionalizzazione, iniziato nel 2007, oggi Gi Group opera, direttamente o con partnership strategiche, in oltre 57 paesi in Europa, America, Asia e Africa.
   Il Gruppo è anche un Global Corporate Member di WEC - World Employment Confederation - la Confederazione Internazionale delle agenzie per il lavoro. Nel 2018 ha servito più di 20.000 aziende con un fatturato di oltre 2.3 miliardi di Euro nel mondo. Il gruppo si avvale di oltre 500 filiali in tutto il mondo e può contare su più di 4000 dipendenti di struttura. Sito Web http://www.gigroup.com Gi Group SpA, Agenzia per il Lavoro (Aut. Min. 26/11/04 Prot. n. 1101-SG) Gi Group SpA è autorizzata ad operare dal Ministero del Lavoro (Aut. Min. 26/11/2004 PROT. 1101 - SG). I candidati ambosessi (D.lgs n. 198/2006) sono invitati a leggere l'informativa privacy ai sensi degli artt. 13 e 14 del Reg. EU 679/2016 al seguente indirizzo www.gigroup.it/privacy-candidati",System Analyst,"Branch: Reggio Calabria Specialization: Qibit - Expert Qibit, the specialized ICT division of Gi Group which deals with R&D of IT Expert profiles for the Italian market, research, for an important company group that deals with information and information technology services and solutions for theBanking world, public administration and companies, we are looking for a junior systemist, the candidate will be inserted for the server room in the public administration room, therefore it will be part of a Team of System Systems in the PA field and will take care of maintenance installation and server management activities.Technological focus then on servers (Windows and/or Linux) - These are not positions for assistance on client or offices/pdl.Requirements: The candidate must possess: *at least 2 years of proven experience in the role of Systemist Side Server (Linux and/or Windows), *Knowledge of VMWare virtualization environment *Knowledge of Microsoft Server Operating Systems (Windows
   Server 2016/2019) *Knowledge of Microsoft Exchange Post Server (Office 365) *Knowledge of Microsoft Active Directory (Group Policy) *Knowledge of Microsoft client operating systems (Windows 7,8.1.10) offers: *Direct contract with thePermanent company * ASSIGNMENT EQUIPATED TO THE EXPERIENCE * Possibility of alternation between work in presence and in Smart Working headquarters: Reggio Calabria Gi Group is the first Italian multinational work multinational, as well as one of the main realities, worldwide, in servicesdedicated to the development of the labor market.The group is active in the following fields: temporary work, permanent and professional staffing, research and selection, HR and training advice, outsourcing, relocation support and complementary activities.Thanks to the internationalization path, which began in 2007, today Gi Group operates, directly or with strategic partnerships, in over 57 countries in Europe, America, Asia and Africa.
   The group is also a Global Corporate Member of WEC - World Employment Confederation - The International Confederation of Employment Agencies.In 2018 he served more than 20,000 companies with a turnover of over 2.3 billion euros in the world.The group makes use of over 500 branches worldwide and can count on more than 4000 structure employees.Website http://www.gigroup.com Gi Group Spa, Employment Agency (Aut. Min. 26/11/04 prot. No. 1101-SG) GI Group Spa is authorized to operate by the Ministry of Labor (Aut. Min. 26/11/2004 Prot. 1101 - SG).Ambosexed candidates (Legislative Decree 198/2006) are invited to read the Privacy Policy pursuant to articles13 and 14 of the EU 679/2016 Reg. At the following address www.gigroup.it/privacy-candidati",branch reggio calabria specialization qibit expert qibit specialized ict division group deal expert profile italian market research important company group deal information information technology service solution thebanking world public administration company look junior systemist candidate insert server room public administration room therefore part team system systems field take care maintenance installation server management activity technological focus server windows andor linux position assistance client office pdl requirement candidate must possess least year proven experience role systemist side server linux andor windows knowledge vmware virtualization environment knowledge microsoft server operating systems windows server knowledge microsoft exchange post server office knowledge microsoft active directory group policy knowledge microsoft client operating system windows offer direct contract thepermanent company assignment equipated experience possibility alternation work presence smart working headquarter reggio calabria group first italian multinational work multinational well one main reality worldwide servicesdedicate development labor market group active follow field temporary work permanent professional staffing research selection training advice outsourcing relocation support complementary activity thank internationalization path begin today group operate directly strategic partnership country europe america asia africa group also global corporate member wec world employment confederation international confederation employment agencies serve company turnover billion euro world group make use branch worldwide count structure employee website httpwwwgigroupcom group spa employment agency aut min prot group spa authorize operate ministry labor aut min prot sgambosexe candidate legislative decree invite read privacy policy pursuant articles13 reg following address wwwgigroupitprivacycandidati
È alla ricerca di una figura professionale come .Net Senior Developer per la BU Digital Transformation.,Web Developer,He is looking for a professional figure like .Net Senior Developer for the BU Digital Transformation.,look professional figure like net senior developer digital transformation
"Azienda fortemente presente nella provincia di Varese, cerca tecnico informatico sistemista.",System Analyst,"A company strongly present in the province of Varese, looking for a systemist computer technician.",company strongly present province varese look systemist computer technician
"AUBAY ITALIA SPA offre soluzioni e servizi nelle aree della consulenza direzionale e ICT. Per progetti attivi in ambito finanziario, siamo alla ricerca di un* Javascript Developer In sinergia con un team strutturato, avrai l'opportunità di occuparti di progettazione Front End e di approfondire tematiche legate alla progettazione e all'interrogazione di Database, per lo sviluppo e l'integrazione di un sistema di automazione del Trade Finance Cycle. Requisiti:Laurea in Ingegneria Informatica, Informatica, Matematica e/o in discipline scientifiche affiniConoscenza linguaggio di programmazione JavascriptConoscenza linguaggio di programmazione SQLEsperienza di almeno 1 anno nel ruoloNice to HaveConoscenza linguaggio di programmazione JavaConoscenza Oracle DBCompletano il profilo:Buone capacità relazionali e di analisi per organizzare il lavoro;Capacità di lavorare in team; Le attività sono da intendersi da remoto, ma la presenza su Milano / Roma / Catania costituisce titolo
   preferenziale; si richiede disponibilità ad eventuali trasferte future per incontri di allineamento.Aubay è un gruppo europeo costituito da aziende di soluzioni e servizi focalizzate nelle aree della consulenza direzionale e dell'information & communication technology quotata nel secondo mercato della Borsa di Parigi. La struttura conta in Europa 12 sedi operative.In Italia il gruppo è presente con la società Aubay Italia spa, azienda che propone soluzioni e servizi per l'IT costituita da professionisti con pluriennale esperienza nelle aree IT consulting e system integration, presente in Italia dal 1997 con l'obiettivo di sviluppare il network italiano.http://www.aubay.it/ Si prega di candidarsi tramite il portale monster o di inviare CV all'indirizzo cvrepository@aubay.it indicando attuali condizioni contrattuali e retributive.Ai sensi della vigente normativa, l'offerta di lavoro s'intende estesa ad entrambi i sessi (L. 903/77).",Java Developer,"Aubay Italia Spa offers solutions and services in the areas of management consultancy and ICT.For active projects in the financial field, we are looking for a* JavaScript Developer in synergy with a structured team, you will have the opportunity to take care of front end design and to deepen issues related to the design and questioning of database, for the development eThe integration of a Trade Finance Cycle automation system.Requirements: Degree in IT engineering, IT, Mathematics and/or in Scientific Disciplines Affiniconiscenza Programming Language JavaScriptconconoscanza Planning language SQles Experience of at least 1 year in the Ruolonice to HaveconiCenza Javacconos programming language Oracle DBCComP The profile: good relational and analysis skills to organizework; ability to work in a team;The activities are to be understood remotely, but the presence on Milan / Rome / Catania is the title
   preferential;Availability is required for any future trips for alignment meetings.Aubay is a European group consisting of companies of solutions and services focused in the areas of directional consultancy and information & communities Technology listed in the second Paris stock exchange market.The structure has 12 operating offices in Europe. In Italy, the group is present with the Aubay Italia Spa company, a company that offers solutions and services for IT consisting of professionals with many years of experience in IT Consulting and System Integration areas, present in Italy by1997 with the aim of developing the Italian network.http: //www.aubay.it/ Please apply through the Monster portal or to send CV to the address cvrepository@aubay.it indicating current contractual and salary conditions.of current legislation, the job offer is extended to both sexes (L. 903/77).",aubay italia spa offer solution service area management consultancy ictfor active project financial field look javascript developer synergy structured team opportunity take care front end design deepen issue relate design questioning database development ethe integration trade finance cycle automation system requirement degree engineering mathematics andor scientific disciplines affiniconiscenza programming language javascriptconconoscanza planning language sqles experience least year ruolonice haveconicenza javacconos programming language oracle dbccomp profile good relational analysis skill organizework ability work teamthe activity understand remotely presence milan rome catania title preferentialavailability require future trip alignment meeting aubay european group consist company solution service focus area directional consultancy information communities technology list second paris stock exchange market structure operating office europe italy group present aubay italia spa company company offer solution service consist professional many year experience consulting system integration area present italy by1997 aim develop italian networkhttp wwwaubayit please apply monster portal send address cvrepositoryaubayit indicate current contractual salary conditionsof current legislation job offer extend sex
"La risorsa si unirà ad un team di progetto andando a supportare i colleghi su diverse attività; analisi funzionale, stesura della documentazione del progetto e sviluppo software degli applicativi utilizzati. Inoltre, supporterà i clienti in caso di implementazione e malfunzionamenti dei sistemi, interfacciandosi con gli stessi.

   Avrà la possibilità di comunicare in inglese, supportando i clienti e dialogando con gli stessi; sia da remoto che direttamente in loco.",Programmer,"The resource will join a project team going to support colleagues on various activities;Functional analysis, drafting of the project documentation and software development of the applications used.In addition, it will support customers in case of implementation and malfunctions of the systems, interfacing with them.

   Will have the opportunity to communicate in English, supporting customers and dialogue with them;both remotely and directly on site.",resource join project team support colleague various activitiesfunctional analysis draft project documentation software development application use addition support customer case implementation malfunction system interface opportunity communicate english support customer dialogue themboth remotely directly site
"descrizione Randstad Technologies, divisione specializzata nella ricerca, selezione e formazione professionale IT di Randstad Italia, ricerca per azienda cliente operante nel settore della cyber securityun software engineerIl candidato si dedicherà allo sviluppo di soluzioni software in ambito sicurezza informatica.Si richiede:Laurea indirizzo Scientifico;Buona attitudine alla ricerca scientifica;Conoscenza di: Java o C/C++;Programmazione su Rete, Protocolli, reti Lan e WLan;Buona padronanza della lingua inglese;Curiosità e passione in ambito Cyber Security;Propensione al lavoro di gruppoSi offre contratto a tempo indeterminato ccnl metalmeccanico con possibilità di effettuare giornate di smart working e flessibilità oraria.Ai sensi della normativa vigente l'offerta di lavoro si intende rivolta a entrambi i sessi (L. 903/77). Il CV dovrà contenere l'autorizzazione al trattamento dei dati personali ai sensi del GDPR UE 2016/679 ed attestazione di veridicità ai sensi del DPR",Software Engineer,"Description Randstad Technologies, a division specialized in Randstad Italia's research, selection and professional training and training, research for customer company operating in the Cyber Securityun Software Candidate sector will dedicate itself to the development of software solutions in the IT security sector. It requires: Scientific address degree;Good aptitude for scientific research; knowledge of: java or c/c ++; network programming, protocols, lan and wlan networks; good mastery of the English language; curiosity and passion in the cyber security field; propensity for group work offers permanent contractsCCNL metalworkers with the possibility of carrying out smart working days and hourly flexibility. The senses of current legislation The job offer is intended for both sexes (L. 903/77).The CV must contain the authorization for the processing of personal data pursuant to the GDPR UE 2016/679 and attestation of truthfulness pursuant to the Presidential Decree",description randstad technologies division specialize randstad italia research selection professional training training research customer company operate cyber securityun software candidate sector dedicate development software solution security sector require scientific address degreegood aptitude scientific research knowledge java network programming protocol lan wlan network good mastery english language curiosity passion cyber security field propensity group work offer permanent contractsccnl metalworker possibility carry smart working day hourly flexibility sense current legislation job offer intend sex 90377the must contain authorization processing personal datum pursuant gdpr attestation truthfulness pursuant presidential decree
"La persona si occuperà dello sviluppo di applicativi software installati a bordo di sistemi di diagnostica con applicazione in ambito elettromeccanico (riduttori, motori, pompe, turbine, etc..). Nello specifico si occuperà di:
     * Manutenzione del software esistente;
     * Release ed installazione di nuovi sistemi;
     * Bug fixing;
     * Sviluppo di nuovo applicativi;
     * Aggiunta di funzionalità operative o di data mining;
     * Personalizzazioni richieste dai clienti;
     * Supporto cliente;
     * Redazione documentazione tecnica.",Programmer,"The person will deal with the development of software application installed on board diagnostic systems with electromechanical application (reducers, engines, pumps, turbines, etc.).Specifically, it will take care of:
     * Existing software maintenance;
     * Release and installation of new systems;
     * Bug fixing;
     * Development of new applications;
     * Addition of operational or data mining functionality;
     * Customizations required by customers;
     * Customer support;
     * Technical documentation drafting.",person deal development software application instal board diagnostic system electromechanical application reducer engine pump turbine etcspecifically take care exist software maintenance release installation new system bug fixing development new application addition operational datum mining functionality customization require customer customer support technical documentation drafting
"Il candidato, nell'ambito di un team di lavoro nell'area sviluppo, si occuperà di lavorare alla realizzazione di progetti software & Web ed all'implementazione di applicativi già in uso presso la clientela interna (Gruppo) ed esterna (aziende Clienti). Possibilità anche di Sviluppo Mobile.

   Interpretazione, progettazione, codifica e documentazione, collaudo e manutenzione dei programmi creati in risposta a specifiche esigenze degli utenti:

   Sviluppo software attraverso il paradigma OOP (Programmazione ad oggetti);

   Eseguire i test di primo livello, partecipare alla stesura di piani e procedure di test/collaudo ed eseguire e documentare i collaudi del sistema e la messa a punto finale",Web Developer,"The candidate, as part of a work team in the development area, will deal with the realization of software & web projects and the implementation of applications already in use at internal (group) and external customers (customer companies).Possibility of mobile development.

   Interpretation, design, coding and documentation, testing and maintenance of the programs created in response to specific users' needs:

   Software development through the OOP paradigm (object programming);

   Perform the first level tests, participate in the drafting of plans and test/testing procedures and perform and document the tests of the system and the final point",candidate part work team development area deal realization software web project implementation application already use internal group external customer customer companiespossibility mobile development interpretation design coding documentation testing maintenance program create response specific user need software development oop paradigm object programming perform first level test participate drafting plan test testing procedure perform document test system final point
"Stiamo ricercando un candidato, imprenditore, persona fisica o società, con una buona esperienza nello sviluppo di progetti e preferibilmente , nella gestione delle risorse umane , con provate doti organizzative, senso del business per il ruolo di MASTER FRANCHISE ITALIA.

   Al candidato interessato ad assumere il ruolo di Sviluppo del Franchising Italia del brand , viene offerto un contratto di esclusiva decennale con una master fee e dei ricorrenti di sicuro interesse.

   Inviare un breve profilo con elencazione delle esperienze più significative e l'area di eventuale interesse ( nord, centro sud )",Programmer,"We are looking for a candidate, entrepreneur, natural person or society, with a good experience in the development of projects and preferably, in the management of human resources, with proven organizational qualities, a sense of business for the role of Master Franchise Italia.

   The candidate interested in taking on the role of development of the brand's franchising Italy, is offered a decennial exclusive contract with a master fee and the applicants of sure interest.

   Send a short profile with the list of the most significant experiences and the area of possible interest (North, Center South)",look candidate entrepreneur natural person society good experience development project preferably management human resource proven organizational quality sense business role master franchise italia candidate interested take role development brand franchising italy offer decennial exclusive contract master fee applicant sure interest send short profile list significant experience area possible interest north center south
"Il profilo selezionato dovrà occuparsi di:

   -Progettare le architetture logiche e fisiche infrastrutturali

   -Supportare l'utenza Interna

   -Amministrare storage e piattaforme di visualizzazione

   Per la posizione, oltre allo smart working, è richiesta la disponibilità alla reperibilità in sede.

   Sede delle attività: Smart Working e presenza",System Analyst,"The selected profile must deal with:

   -Recopte the logical and physical infrastructure architecture

   -SUPPORT INTERNAL USE

   -administer storage and display platforms

   For the position, in addition to the Smart Working, the availability of availability on site is required.

   Activity seat: Smart Working and presence",select profile must deal recopte logical physical infrastructure architecture support internal use administer storage display platform position addition smart working availability availability site require activity seat smart working presence
"definizione dell'architettura della soluzione all'implementazione della stessa. Ruolo e Responsabilità:Sviluppo e customizzazione dei servizi IT legati ai progetti dei committentiCreare e archiviare la documentazione completa del progettoInterfaccia col cliente da remoto o in siteImplementare e gestire le modifiche per raggiungere i risultati di progetto (fare analisi) Riporto gerarchico:Relazioni di funzione:Interne: Sviluppatori, P.M.Esterne: Clienti P.A. Requisiti richiesti per partecipare alle Selezioni:Esperienza biennale come Front End Developer (CSS, Angular JS, HTML5, Javascript, Angular IO, React Native, Bootstrap)Java EE developer (Java 1.8, JaxRs, JPA2, EJB3, Spring, Maven, Python, AS Wildfly 18, PostgreSQL, PostGis, MongoDB, MySql, Oracle, SVN, Git, Jira)Preferibile esperienza con tecnologie Oracle Cloud SaaS-PaaS (EPM, OAC, ODI) integrazione WebServices (Rest, SOAP), Oracle Autonomous Database, Oracle Autonomous DatawarehouseRequisito facoltativo e aver lavorato con",Java Developer,"definition of the architecture of the solution to the implementation of the same.Role and responsibility: Development and customization of IT services linked to the projects of the clients and archive the complete documentation of the interface project with the customer remote or in Siteimplemential and manage the changes to achieve the project results (make analysis) hierarchical report: function reports:Interior: Developers, P.M.Scene: P.A. CustomersRequirements to participate in the selections: biennial experience as Front End Developer (CSS, Angular JS, HTML5, Javascript, Angular Io, React Native, Bootstrap) Java Ee Developer (Java 1.8, Jaxrs, JPA2, EJB3, Spring, Maven, Python,AS Wildfly 18, PostGresql, Postgis, Mongodb, MySQL, Oracle, Svn, Git, Jira) Preferable experience with Oracle Cloud Saas-Paas technologies (epm, Oac, Odi) WebServices integration (Rest, Soap), Oracle Autonomous Database, Oracle AutonomousOptional datawarehousheremerehousre and having worked with",definition architecture solution implementation role responsibility development customization service link project client archive complete documentation interface project customer remote siteimplemential manage change achieve project result make analysis hierarchical report function report interior developers pmscene customersrequirements participate selection biennial experience front end developer css angular html5 javascript angular react native bootstrap java developer java jaxrs jpa2 ejb3 spring maven python wildfly postgresql postgis mongodb mysql oracle svn git jira preferable experience oracle cloud saas paas technology epm oac odi webservices integration rest soap oracle autonomous database oracle autonomousoptional datawarehousheremerehousre work
Entrerai a far parte di un ambiente lavorativo dinamico e stimolante dove potrai portare il tuo contributo e condividere conoscenze tecnologie con un team di professionisti fortemente motivati e preparati.,Web Developer,You will become part of a dynamic and stimulating working environment where you can make your contribution and share technologies knowledge with a team of highly motivated and prepared professionals.,become part dynamic stimulating working environment make contribution share technology knowledge team highly motivated prepared professional
L'avvio dell'attività lavorativa sarà in smart working e proseguirà in questa modalità salvo differenti esigenze aziendali fino alla fine dell'emergenza sanitaria in corso.,Programmer,The start of the work will be in Smart Working and will continue in this mode with different business needs until the end of the current health emergency.,start work smart working continue mode different business need end current health emergency
"Job summary Parola chiave: digitalizzazione! Uno dei principali obiettivi di ECTM è rivoluzionare in chiave digitale il mondo dell'edilizia, andando a trasformare uno dei settori meno digitalizzati. Cerchiamo quindi un Programmatore proattivo, entusiasta e dinamico per progettare, sviluppare e gestire innovative architetture web articolate in microservizi. E non è finita qui. Se curiosità e passione per lo sviluppo tecnologico-digitale ti caratterizzano, in qualità di Programmatore potrai metterti alla prova nell'ideazione, nella creazione e nel lancio di soluzioni web innovative, dando vita a una visione inedita e non convenzionale di Rete al servizio dell'Edilizia e del settore ingegneristico. Lavorando in Agile supporterai la tua squadra nelle varie fasi di lavoro, raggiungendo con il team obiettivi a lungo termine. Sarai parte di ECTM e ne condividerai ambizioni e progressi sviluppando nuovi prodotti digitali. Cosa cerchiamo in te? Ecco le principali tecnologie che
   utilizzerai e i requisiti fondamentali per lavorare insieme a noi, senza mai smettere di creare, progettare, divertirti. Angular Laravel PHP Microservizi Mysql  Nice to have: docker, Redux, react.Credere nelle tue proposte e nelle tue scelte: ricorda che non lavorerai solo per ECTM ma insieme a ECTM. I progetti ai quali prenderai parte saranno anche frutto delle tue intuizioni. Capacità di proporre e trasmettere al tuo team di lavoro idee, opinioni e soluzioni. Propensione a costruire una visione strategica d'insieme delle varie mansioni che ti verranno assegnate. Capacità di comprendere e condividere con la tua squadra i feedback del responsabile senior e delle varie figure con le quali ti confronterai. È richiesta la presenza su Roma. Valuteremo la possibilità di remote working parziale più avanti, ora abbiamo bisogno di te qui!Team Il tuo team è attualmente composto da 5 programmatori coordinati da un Lead Developer. Ma non lavorerai solo con loro! I
   progetti ai quali prenderai parte infatti ti permetteranno di interfacciarti quotidianamente con Project Manager, Ingegneri, Architetti, Creativi, Graphic Designer e molti altri professionisti; una realtà multidisciplinare che ti consentirà di sviluppare nuove skill e preziose abilità trasversali. Cosa ti offriamo Azienda altamente tecnologica e quasi del tutto paperless; contratto a tempo indeterminato; 14 mensilità (CCNL studi professionali); pacchetto di Welfare Aziendale volto a fornire al nostro team servizi, agevolazioni e iniziative che migliorino sensibilmente la vita in azienda; buoni pasto giornalieri da 8 €; flessibilità oraria; formazione continua; organizzazione orizzontale e trasversale di ruoli e competenze; ufficio in zona centrale, ben collegato con metropolitana e autobus; RAL prevista: in base alla seniority, dai 25k ai 35k. Se quel che hai letto fin qui ti ha incuriosito; se passione, condivisione e lavoro di squadra sono per
   te, come per noi, valori fondamentali, inviaci subito la tua candidatura. Entrando a far parte del team di ECTM conoscerai una realtà inclusiva e sinergica, volta all'interazione, alla crescita e all'innovazione.",Web Developer,"Job Summary keyword: digitization!One of the main objectives of ECTM is revolutionizing the world of construction in a digital key, going to transform one of the least digitized sectors.We therefore look for a proactive, enthusiastic and dynamic programmer for designing, developing and managing innovative web architectures divided into microservices.And it's not over here.If curiosity and passion for technological-digital development characterize you, as a programmer you can test yourself in the ideation, creation and launch of innovative web solutions, giving life to an unprecedented and unconventional vision of the network at the service of theBuilding and engineering sector.By working in Agile you will support your team in the various work phases, reaching long -term objectives with the team.You will be part of Ectm and you will share ambitions and progress by developing new digital products.What are we looking for in you?Here are the main technologies that
   You will use and the fundamental requirements for working with us, without ever stopping to create, design, have fun.Angular Lavel Php Microservizi Mysql Nice to Have: Docker, Redux, React.Credere in your proposals and in your choices: remember that you will not work only for ECTM but together with ECTM.The projects in which you will take part will also be the result of your intuitions.Ability to propose and transmit to your work team ideas, opinions and solutions.Propensity to build a strategic overall vision of the various tasks that will be assigned to you.Ability to understand and share with your team the feedbacks of the Senior Manager and the various figures with whom you will confront yourself.The presence on Rome is required.We will evaluate the possibility of partial remote working later, now we need you here! Team your team is currently composed of 5 programmers coordinated by a Lead Developer.But you won't work only with them!THE
   Projects in which you will take part in fact will allow you to interface daily with project manager, engineers, architects, creatives, graphic designers and many other professionals;A multidisciplinary reality that will allow you to develop new skills and precious transversal skills.What we offer you highly technological and almost completely paperless company;permanent contract;14 months (CCNL Professional Studies);Company welfare package aimed at providing our team services, concessions and initiatives that significantly improve life in the company;Daily meal vouchers from 8 €;hourly flexibility;continuous training;horizontal and transversal organization of roles and skills;office in the central area, well connected with subway and buses;Expected RAL: based on seniority, from 25k to 35k.If what you have read so far has intrigued you;If passion, sharing and teamwork are for
   You, as for us, fundamental values, send us your application immediately.By joining the ECTM team you will know an inclusive and synergistic reality, aimed at interaction, growth and innovation.",job summary keyword digitizationone main objective ectm revolutionize world construction digital key transform one least digitize sector therefore look proactive enthusiastic dynamic programmer designing develop manage innovative web architecture divide microservice curiosity passion technological digital development characterize programmer test ideation creation launch innovative web solution give life unprecedented unconventional vision network service thebuilding engineering sector work agile support team various work phase reach long term objective team part ectm share ambition progress develop new digital product look youhere main technology use fundamental requirement work without ever stop create design fun angular lavel php microservizi mysql nice docker redux react credere proposal choice remember work ectm together ectmthe project take part also result intuition ability propose transmit work team idea opinion solution propensity build strategic overall vision various task assign ability understand share team feedback senior manager various figure confront presence rome require evaluate possibility partial remote working later need team team currently compose programmer coordinate lead developer work themthe project take part fact allow interface daily project manager engineer architect creative graphic designer many professionalsa multidisciplinary reality allow develop new skill precious transversal skill offer highly technological almost completely paperless companypermanent contract14 month ccnl professional studiescompany welfare package aim provide team service concession initiative significantly improve life companydaily meal voucher hourly flexibilitycontinuous traininghorizontal transversal organization role skillsoffice central area well connect subway busesexpected ral base seniority 25k 35k read far intrigue youif passion sharing teamwork fundamental value send application immediately join ectm team know inclusive synergistic reality aim interaction growth innovation
"* installazione, manutenzione e supervisione dei sistemi operativi e degli applicativi;
     * controllare e garantire le performance dei servizi e delle reti proponendo best practices da adottare;
     * configurare e ottimizzare i server web, i database, i file server e gli altri applicativi installati.",System Analyst,"* installation, maintenance and supervision of operating systems and applications;
     * Check and guarantee the performance of services and networks by proposing Best Practices to be adopted;
     * Configure and optimize web servers, databases, server files and other installed applications.",installation maintenance supervision operating system application check guarantee performance service network propose best practices adopt configure optimize web server database server file instal application
"La persona prescelta incrementerà le performance aziendali tramite il governo efficiente ed efficace dei processi di gestione, manutenzione e sviluppo degli applicativi a sostegno del business e delle operations. Sarà responsabile dell'avviamento e della parametrizzazione degli applicativi aziendali al fine di adattarli ai processi aziendali del cliente e alle loro specifiche esigenze. Sarà coinvolta nella gestione quotidiana degli aspetti tecnici dei servizi erogati sul web assicurando il monitoraggio dell'evoluzione tecnologica dei sistemi, la loro ottimizzazione ed il costante aggiornamento. Dovrà interagire con le altre aree aziendali al fine di garantire security e privacy dei dati gestiti. Migliorerà le soluzioni proposte attraverso l'analisi dei processi in produzione. Manterrà aggiornata la documentazione di processo. Indirizzerà e supervisionerà, ove previsto, i processi di delivery e sviluppo dei software gestionali interagendo con i Project Manager, l'Area Testing e lo",System Analyst,"The chosen person will increase corporate performance through the efficient and effective government of the management, maintenance and development processes of applications to support business and operations.You will be responsible for the starting and parameterization of the company application in order to adapt them to the customer's business processes and their specific needs.It will be involved in the daily management of the technical aspects of the services provided on the web ensuring monitoring of the technological evolution of the systems, their optimization and constant updating.He will have to interact with other company areas in order to guarantee security and privacy of the data managed.It will improve the solutions proposed through the analysis of the processes in production.Will keep the process documentation updated.It will add and supervise, where expected, the delivery processes and development of management software interacting with the project manager, the testing area and it",choose person increase corporate performance efficient effective government management maintenance development process application support business operation responsible starting parameterization company application order adapt customer business process specific need involve daily management technical aspect service provide web ensure monitoring technological evolution system optimization constant updating interact company area order guarantee security privacy datum manage improve solution propose analysis process production keep process documentation update add supervise expect delivery process development management software interact project manager testing area
